Alabama,31.2
Ohio State,30
Clemson,26.6
LSU,24.2
Wisconsin,24
Georgia,23.8
Oklahoma,23.2
Penn State,22.9
Oregon,21.8
Auburn,21.3
Notre Dame,20.5
Florida,18.4
Utah,16.3
Washington,16
Michigan,15
Iowa State,14.4
Texas A&M,14.4
Missouri,14.2
Texas,13.5
Iowa,13.5
UCF,12.8
Mich. St.,12.3
S Carolina,12.3
USC,12.3
Baylor,10.2
Oklahoma State,9.5
Boise State,9.1
Cincinnati,8.9
Minnesota,8.5
Miss St,8.2
Miami,7.6
Washington St,7.3
TCU,7
Arizona State,6.5
Florida State,6.2
North Carolina,6.1
Duke,5.7
Virginia,5.7
Stanford,5.5
Memphis,5.2
Cal,5.1
SMU,5.1
Kansas State,5
Tulane,4.7
Indiana,4.7
Wake Forest,4.3
Kentucky,4.1
Tennessee,4
Ole Miss,3.7
Texas Tech,3.3
Appalachian St,2.6
Arizona,2.5
Louisville,2.1
Air Force,1.9
Pittsburgh,1.8
Utah State,1.8
Maryland,1.6
BYU,1.1
Louisiana,1.1
Northwestern,1.1
W Michigan,0.7
UCLA,0.7
Nebraska,0.7
Navy,0.7
NC State,0.6
Syracuse,0.4
Purdue,-0.1
San Diego State,-0.8
Houston,-0.8
Colorado,-0.8
Hawai'i,-1
West Virginia,-1.3
Wyoming,-1.5
Fresno State,-1.8
Virginia Tech,-2.1
Temple,-2.1
Arkansas,-2.4
Toledo,-2.5
Oregon St,-2.6
FAU,-3.1
Boston College,-3.1
Southern Miss,-3.3
Army,-3.9
LA Tech,-5.3
Florida Intl,-5.4
Arkansas State,-5.9
North Texas,-6.2
Marshall,-6.6
USF,-6.7
Tulsa,-6.9
W Kentucky,-7
Illinois,-7.3
Vanderbilt,-7.9
Ball State,-8.1
Georgia State,-8.4
Troy,-8.4
Ohio,-8.7
UAB,-8.9
N Illinois,-9.3
Kent State,-9.7
Ga Southern,-9.8
UL Monroe,-10.2
Cent Michigan,-10.2
Kansas,-10.7
C. Carolina,-10.7
Mid Tennessee,-10.9
Georgia Tech,-10.9
Colorado State,-11.1
Liberty,-11.7
Buffalo,-12
San Jose State,-12.2
Miami (OH),-12.5
UNLV,-12.8
E Michigan,-13.2
Texas State,-13.9
East Carolina,-14
Charlotte,-14.7
Rice,-16.6
Nevada,-17
New Mexico,-17.3
Rutgers,-17.6
Old Dominion,-21
Bowling Green,-21.2
New Mexico St,-21.3
UTSA,-21.5
South Alabama,-22.8
UConn,-25.9
UTEP,-26.2
Akron,-27.8
UMass,-33.2
