Ohio State,31.7
Alabama,29.9
Clemson,27.8
LSU,25.3
Oklahoma,24
Georgia,23.4
Penn State,22.9
Auburn,22.6
Oregon,21.4
Wisconsin,21.1
Notre Dame,20.6
Florida,19.3
Utah,16.8
Washington,15.2
Michigan,15.2
Iowa State,14.5
Texas A&M,14
USC,13.4
Iowa,12.4
Baylor,12
Mich. St.,11.9
Missouri,11.8
Texas,11.2
UCF,11.2
S Carolina,11
Minnesota,10.4
Washington St,9.1
Cincinnati,8.7
Boise State,8.4
Virginia,8.1
Miss St,7.5
Oklahoma State,7.5
Memphis,7.3
TCU,7.3
SMU,6.3
Florida State,6.1
Arizona State,6
Indiana,6
North Carolina,5.7
Appalachian St,5.6
Miami,5.5
Kansas State,5.1
Air Force,4.8
Tennessee,4.6
Wake Forest,4.3
Kentucky,4
Ole Miss,3.5
Cal,3.4
Navy,3.3
Duke,3.2
UCLA,3.2
Texas Tech,3
Louisiana,2.9
Stanford,2.8
Pittsburgh,2.7
Tulane,2.7
Utah State,2.1
BYU,1.4
Purdue,1.4
Louisville,1.1
Arizona,1
Maryland,0.9
Nebraska,0.9
Fresno State,0.9
San Diego State,-0.2
Syracuse,-0.7
W Michigan,-0.8
Boston College,-0.9
NC State,-1.3
Northwestern,-1.8
Virginia Tech,-1.8
Oregon St,-1.8
Houston,-1.9
Wyoming,-2.2
West Virginia,-2.5
Colorado,-2.5
Temple,-3.2
FAU,-3.8
Hawai'i,-3.8
Illinois,-4.2
Arkansas,-4.3
Ball State,-4.5
LA Tech,-4.5
Southern Miss,-4.6
Army,-5
Marshall,-5.5
Vanderbilt,-5.6
Toledo,-6.2
Florida Intl,-6.2
Tulsa,-6.3
W Kentucky,-6.8
Arkansas State,-6.8
North Texas,-6.9
Georgia State,-7.8
Ohio,-7.8
Kansas,-7.9
USF,-8.1
Troy,-8.1
UAB,-8.1
Georgia Tech,-8.5
N Illinois,-8.8
Ga Southern,-9.1
Cent Michigan,-9.8
C. Carolina,-9.9
Kent State,-10
E Michigan,-10.6
Mid Tennessee,-10.7
Buffalo,-11.3
Liberty,-11.3
Colorado State,-11.6
Miami (OH),-12
San Jose State,-12.1
UL Monroe,-12.5
East Carolina,-12.7
Texas State,-14.1
UNLV,-14.3
Charlotte,-14.9
New Mexico,-16.6
Nevada,-17
Rice,-17.2
Rutgers,-18.2
UTSA,-20.6
New Mexico St,-20.7
Old Dominion,-21.3
Bowling Green,-22.7
South Alabama,-23.3
UConn,-24.8
UTEP,-25.6
Akron,-27.6
UMass,-33
