Ohio State,33.8
Clemson,32
LSU,28.9
Alabama,28.7
Georgia,23.7
Auburn,22
Oregon,21.9
Florida,21.8
Oklahoma,21.4
Wisconsin,21.3
Penn State,21.2
Michigan,20.5
Notre Dame,19.8
Utah,19.7
Baylor,14.5
Iowa,13.7
Texas A&M,13.7
Washington,13.1
Minnesota,12.9
Iowa State,12.1
UCF,12
USC,11.9
Texas,11.1
Memphis,10.3
Boise State,9.7
Oklahoma State,8.8
Washington St,8.8
Kentucky,8.5
Kansas State,8.3
Appalachian St,8.3
Miss St,8.2
Tennessee,8
Missouri,7.8
Mich. St.,7.7
TCU,7.6
Indiana,7.4
S Carolina,6.8
Cincinnati,6.8
Miami,6.7
North Carolina,6.7
Air Force,6.4
Louisiana,6.3
Arizona State,6.1
Virginia,6
SMU,5.8
Navy,5.5
Ole Miss,5.2
Virginia Tech,4.8
Florida State,4.6
Nebraska,4.4
Cal,3.1
FAU,3.1
Wake Forest,3
BYU,2.2
Texas Tech,2.2
Tulane,2
Louisville,1.5
UCLA,1
Oregon St,0.8
Stanford,0.8
Pittsburgh,0.6
Boston College,-0.1
Purdue,-0.2
Illinois,-0.3
W Michigan,-0.3
Duke,-0.5
West Virginia,-1.3
Wyoming,-1.4
Colorado,-1.4
Syracuse,-1.5
San Diego State,-1.5
Arizona,-2.2
Utah State,-2.7
Northwestern,-2.8
Ohio,-2.9
Temple,-2.9
Houston,-3.1
W Kentucky,-3.2
Hawai'i,-3.2
Fresno State,-3.6
Army,-3.8
Tulsa,-3.8
Buffalo,-4.3
Marshall,-4.3
Ga Southern,-4.3
Southern Miss,-4.4
LA Tech,-4.8
Ball State,-5.4
Maryland,-5.6
Cent Michigan,-5.8
Arkansas State,-6.3
NC State,-7.1
Arkansas,-7.1
Vanderbilt,-7.8
USF,-7.9
Mid Tennessee,-8.8
E Michigan,-8.8
Florida Intl,-8.9
Troy,-8.9
Liberty,-9.1
Miami (OH),-9.1
Kent State,-9.2
San Jose State,-9.3
Kansas,-9.5
UAB,-9.7
N Illinois,-9.7
Colorado State,-9.7
Toledo,-10.2
North Texas,-10.4
Georgia State,-10.5
UL Monroe,-10.6
Georgia Tech,-10.8
Charlotte,-10.9
C. Carolina,-11.9
East Carolina,-13.4
UNLV,-14.2
Nevada,-14.4
Rutgers,-15.2
Rice,-15.7
Texas State,-17.2
New Mexico,-17.5
South Alabama,-19.1
UTSA,-19.6
Old Dominion,-22.2
New Mexico St,-22.8
UConn,-25.6
Bowling Green,-26
UTEP,-27.2
Akron,-28.6
UMass,-35.9
