Ohio State,33.7
Clemson,32.7
LSU,29.6
Alabama,29.3
Georgia,23.9
Oregon,21.7
Penn State,21.5
Wisconsin,21.3
Florida,21.3
Auburn,21.2
Notre Dame,20.9
Michigan,20
Oklahoma,19.8
Utah,17.6
Iowa,14.9
Washington,14.5
Baylor,14.1
Minnesota,13.8
Texas A&M,13.6
Texas,13
UCF,12.6
Iowa State,11
USC,10.7
Memphis,10.3
Kentucky,8.8
Oklahoma State,8.8
North Carolina,8.5
Boise State,8.2
Appalachian St,8.1
Cincinnati,8.1
Washington St,7.9
Missouri,7.8
Tennessee,7.8
Kansas State,7.7
Mich. St.,7.7
Indiana,7.5
TCU,7.3
Air Force,7.3
Miss St,7.1
Navy,7
S Carolina,6.9
Virginia,6.7
Arizona State,6
Louisiana,5.9
Miami,5.5
Ole Miss,5.2
Virginia Tech,4.5
Nebraska,4.5
SMU,4.5
FAU,4.4
Florida State,4.2
Cal,3.5
Wake Forest,3
Louisville,2.6
Tulane,2.4
Texas Tech,2
BYU,1.8
UCLA,0.9
Stanford,0.9
Oregon St,0.8
Pittsburgh,0.4
San Diego State,0.3
Purdue,0
Duke,-0.3
Illinois,-0.6
Wyoming,-0.6
W Michigan,-1
Boston College,-1.4
Syracuse,-1.5
West Virginia,-1.5
Colorado,-1.6
Arizona,-2.4
Northwestern,-2.6
W Kentucky,-2.6
Hawai'i,-2.9
Houston,-3
Ohio,-3.1
LA Tech,-3.4
Buffalo,-3.4
Utah State,-3.5
Fresno State,-3.5
Tulsa,-3.6
Marshall,-4.5
Army,-4.6
Temple,-4.7
Southern Miss,-4.8
Ga Southern,-4.9
Ball State,-5.3
Maryland,-5.6
Arkansas State,-6.1
NC State,-6.9
Arkansas,-7.1
Cent Michigan,-7.6
Vanderbilt,-7.7
USF,-8
Kent State,-8.2
Liberty,-8.4
E Michigan,-8.6
Miami (OH),-8.7
Mid Tennessee,-8.7
Troy,-9.1
Florida Intl,-9.1
San Jose State,-9.2
UAB,-9.4
Colorado State,-9.6
Kansas,-9.7
N Illinois,-9.9
Toledo,-10.2
North Texas,-10.3
Georgia Tech,-10.7
UL Monroe,-10.9
Georgia State,-11.4
Charlotte,-11.6
C. Carolina,-12
East Carolina,-13.3
Nevada,-14
UNLV,-14
Rutgers,-15.2
Rice,-15.6
Texas State,-17.3
New Mexico,-17.3
South Alabama,-19.2
UTSA,-19.5
Old Dominion,-22.1
New Mexico St,-22.7
UConn,-25.5
Bowling Green,-26
UTEP,-27.1
Akron,-28.6
UMass,-35.7
