2015-09-03,Georgia Tech,69,Alcorn St,6
2015-09-03,Duke,37,Tulane,7
2015-09-03,Utah,24,Michigan,17
2015-09-03,San Jose St,43,New Hampshire,13
2015-09-03,Ohio,45,Idaho,28
2015-09-03,South Carolina,17,North Carolina,13
2015-09-03,TCU,23,Minnesota,17
2015-09-03,Ball St,48,VMI,36
2015-09-03,Connecticut,20,Villanova,15
2015-09-03,Wake Forest,41,Elon,3
2015-09-03,Nevada,31,UC Davis,17
2015-09-03,Arizona,42,UT San Antonio,32
2015-09-03,WKU,14,Vanderbilt,12
2015-09-03,Florida Intl,15,UCF,14
2015-09-03,Fresno St,34,Abilene Chr,13
2015-09-03,Utah St,12,Southern Utah,9
2015-09-03,Hawaii,28,Colorado,20
2015-09-03,Oklahoma St,24,C Michigan,13
2015-09-04,Charlotte,23,Georgia St,20
2015-09-04,Boise St,16,Washington,13
2015-09-04,Michigan St,37,W Michigan,24
2015-09-04,Baylor,56,SMU,21
2015-09-04,Fordham,37,Army,35
2015-09-04,Oregon St,26,Weber St,7
2015-09-04,Syracuse,47,Rhode Island,0
2015-09-05,NC State,49,Troy,21
2015-09-05,Clemson,49,Wofford,10
2015-09-05,Missouri,34,SE Missouri St,3
2015-09-05,Mississippi,76,TN Martin,3
2015-09-05,Rice,56,Wagner,16
2015-09-05,East Carolina,28,Towson,20
2015-09-05,Pittsburgh,45,Youngstown St,37
2015-09-05,Air Force,63,Morgan St,7
2015-09-05,Alabama,35,Wisconsin,17
2015-09-05,UCLA,34,Virginia,16
2015-09-05,Arkansas,48,UTEP,13
2015-09-05,Old Dominion,38,E Michigan,34
2015-09-05,Miami OH,26,Presbyterian,7
2015-09-05,Buffalo,51,Albany NY,14
2015-09-05,S Dakota St,41,Kansas,38
2015-09-05,North Dakota,24,Wyoming,13
2015-09-05,Kansas St,34,South Dakota,0
2015-09-05,Colorado St,65,Savannah St,13
2015-09-05,Portland St,24,Washington St,17
2015-09-05,Cincinnati,52,Alabama A&M,10
2015-09-05,Tulsa,47,FL Atlantic,44
2015-09-05,Auburn,31,Louisville,24
2015-09-05,Boston College,24,Maine,3
2015-09-05,South Florida,51,Florida A&M,3
2015-09-05,West Virginia,44,Ga Southern,0
2015-09-05,California,73,Grambling,14
2015-09-05,Appalachian St,49,Howard,0
2015-09-05,Iowa,31,Illinois St,14
2015-09-05,Miami FL,45,Bethune-Cookman,0
2015-09-05,South Alabama,33,Gardner Webb,23
2015-09-05,Texas A&M,38,Arizona St,17
2015-09-05,USC,55,Arkansas St,6
2015-09-05,Oklahoma,41,Akron,3
2015-09-05,Oregon,61,E Washington,42
2015-09-05,Tennessee,59,Bowling Green,30
2015-09-05,BYU,33,Nebraska,28
2015-09-05,Mississippi St,34,Southern Miss,16
2015-09-05,New Mexico,66,MS Valley St,0
2015-09-05,N Illinois,38,UNLV,30
2015-09-05,Florida,61,New Mexico St,13
2015-09-05,Georgia,51,ULM,14
2015-09-05,Iowa St,31,Northern Iowa,7
2015-09-05,Houston,52,Tennessee Tech,24
2015-09-05,Notre Dame,38,Texas,3
2015-09-05,Northwestern,16,Stanford,6
2015-09-05,Texas Tech,59,Sam Houston St,45
2015-09-05,Indiana,48,S Illinois,47
2015-09-05,Louisiana Tech,62,Southern Univ,15
2015-09-05,Florida St,59,Texas St,16
2015-09-05,Memphis,63,Missouri St,7
2015-09-05,Kentucky,40,ULL,33
2015-09-05,Rutgers,63,Norfolk St,13
2015-09-05,Temple,27,Penn St,10
2015-09-05,Maryland,50,Richmond,21
2015-09-05,Navy,48,Colgate,10
2015-09-05,MTSU,70,Jackson St,14
2015-09-05,San Diego St,37,San Diego,3
2015-09-05,Illinois,52,Kent,3
2015-09-06,Marshall,41,Purdue,31
2015-09-07,Ohio St,42,Virginia Tech,24
2015-09-10,WKU,41,Louisiana Tech,38
2015-09-11,Miami FL,44,FL Atlantic,20
2015-09-11,Utah,24,Utah St,14
2015-09-12,Notre Dame,34,Virginia,27
2015-09-12,SMU,31,North Texas,13
2015-09-12,ULM,47,Nicholls St,0
2015-09-12,North Carolina,53,NC A&T,14
2015-09-12,Missouri,27,Arkansas St,20
2015-09-12,N Illinois,57,Murray St,26
2015-09-12,Alabama,37,MTSU,10
2015-09-12,Minnesota,23,Colorado St,20
2015-09-12,Wisconsin,58,Miami OH,0
2015-09-12,Colorado,48,Massachusetts,14
2015-09-12,Texas,42,Rice,28
2015-09-12,Pittsburgh,24,Akron,7
2015-09-12,Texas St,63,Prairie View,24
2015-09-12,California,35,San Diego St,7
2015-09-12,Air Force,37,San Jose St,16
2015-09-12,Michigan St,31,Oregon,28
2015-09-12,Old Dominion,24,Norfolk St,10
2015-09-12,Michigan,35,Oregon St,7
2015-09-12,Oklahoma,31,Tennessee,24
2015-09-12,Temple,34,Cincinnati,26
2015-09-12,TCU,70,SF Austin,7
2015-09-12,Purdue,38,Indiana St,14
2015-09-12,Iowa,31,Iowa St,17
2015-09-12,LSU,21,Mississippi St,19
2015-09-12,Kansas St,30,UT San Antonio,3
2015-09-12,Memphis,55,Kansas,23
2015-09-12,Ohio,21,Marshall,10
2015-09-12,Kentucky,26,South Carolina,22
2015-09-12,Boston College,76,Howard,0
2015-09-12,USC,59,Idaho,9
2015-09-12,Ohio St,38,Hawaii,0
2015-09-12,Houston,34,Louisville,31
2015-09-12,Mississippi,73,Fresno St,21
2015-09-12,Georgia,31,Vanderbilt,14
2015-09-12,Arizona St,35,Cal Poly,21
2015-09-12,Virginia Tech,42,Furman,3
2015-09-12,Northwestern,41,E Illinois,0
2015-09-12,NC State,35,E Kentucky,0
2015-09-12,E Michigan,48,Wyoming,29
2015-09-12,Florida,31,East Carolina,24
2015-09-12,Kent,45,Delaware St,13
2015-09-12,Bowling Green,48,Maryland,27
2015-09-12,Clemson,41,Appalachian St,10
2015-09-12,Arizona,44,Nevada,20
2015-09-12,Texas A&M,56,Ball St,23
2015-09-12,BYU,35,Boise St,24
2015-09-12,Connecticut,22,Army,17
2015-09-12,Southern Miss,52,Austin Peay,6
2015-09-12,C Michigan,31,Monmouth NJ,10
2015-09-12,Florida St,34,South Florida,14
2015-09-12,Washington,49,CS Sacramento,0
2015-09-12,Duke,55,NC Central,0
2015-09-12,Troy,44,Charleston So,16
2015-09-12,Charlotte,34,Presbyterian,10
2015-09-12,Oklahoma St,32,Cent Arkansas,8
2015-09-12,Indiana,36,Florida Intl,22
2015-09-12,Georgia St,34,New Mexico St,32
2015-09-12,Baylor,66,Lamar,31
2015-09-12,Nebraska,48,South Alabama,9
2015-09-12,Texas Tech,69,UTEP,20
2015-09-12,Toledo,16,Arkansas,12
2015-09-12,Georgia Tech,65,Tulane,10
2015-09-12,Tulsa,40,New Mexico,21
2015-09-12,UCLA,37,UNLV,3
2015-09-12,Syracuse,30,Wake Forest,17
2015-09-12,West Virginia,41,Liberty,17
2015-09-12,Auburn,27,Jacksonville St,20
2015-09-12,Penn St,27,Buffalo,14
2015-09-12,Stanford,31,UCF,7
2015-09-12,Ga Southern,43,W Michigan,17
2015-09-12,Illinois,44,W Illinois,0
2015-09-12,Washington St,37,Rutgers,34
2015-09-12,ULL,44,Northwestern LA,17
2015-09-17,Clemson,20,Louisville,17
2015-09-18,Florida St,14,Boston College,0
2015-09-18,Boise St,52,Idaho St,0
2015-09-18,Arizona St,34,New Mexico,10
2015-09-19,Texas A&M,44,Nevada,27
2015-09-19,NC State,38,Old Dominion,14
2015-09-19,Northwestern,19,Duke,10
2015-09-19,Arizona,77,Northern Arizona,13
2015-09-19,Ohio St,20,N Illinois,13
2015-09-19,W Michigan,52,Murray St,20
2015-09-19,Miami FL,36,Nebraska,33
2015-09-19,Michigan,28,UNLV,7
2015-09-19,Mississippi,43,Alabama,37
2015-09-19,Stanford,41,USC,31
2015-09-19,Temple,25,Massachusetts,23
2015-09-19,Arkansas St,70,Missouri St,7
2015-09-19,TCU,56,SMU,37
2015-09-19,Southern Miss,56,Texas St,50
2015-09-19,Mississippi St,62,Northwestern LA,13
2015-09-19,Marshall,45,Norfolk St,7
2015-09-19,Iowa,27,Pittsburgh,24
2015-09-19,Oregon St,35,San Jose St,21
2015-09-19,Georgia,52,South Carolina,20
2015-09-19,Penn St,28,Rutgers,3
2015-09-19,Rice,38,North Texas,24
2015-09-19,Toledo,30,Iowa St,23
2015-09-19,Minnesota,10,Kent,7
2015-09-19,Tulane,38,Maine,7
2015-09-19,Kansas St,39,Louisiana Tech,33
2015-09-19,Memphis,44,Bowling Green,41
2015-09-19,Florida,14,Kentucky,9
2015-09-19,Furman,16,UCF,15
2015-09-19,Notre Dame,30,Georgia Tech,22
2015-09-19,North Carolina,48,Illinois,14
2015-09-19,Syracuse,30,C Michigan,27
2015-09-19,Cincinnati,37,Miami OH,33
2015-09-19,UCLA,24,BYU,23
2015-09-19,California,45,Texas,44
2015-09-19,Ga Southern,48,Citadel,13
2015-09-19,Colorado,27,Colorado St,24
2015-09-19,Missouri,9,Connecticut,6
2015-09-19,Ball St,28,E Michigan,17
2015-09-19,Vanderbilt,47,Austin Peay,7
2015-09-19,LSU,45,Auburn,21
2015-09-19,Michigan St,35,Air Force,21
2015-09-19,Tennessee,55,W Carolina,10
2015-09-19,Indiana,38,WKU,35
2015-09-19,Virginia,35,William & Mary,29
2015-09-19,Wisconsin,28,Troy,3
2015-09-19,Buffalo,33,FL Atlantic,15
2015-09-19,Washington St,31,Wyoming,14
2015-09-19,Virginia Tech,51,Purdue,24
2015-09-19,Wake Forest,17,Army,14
2015-09-19,Washington,31,Utah St,17
2015-09-19,Utah,45,Fresno St,24
2015-09-19,Oklahoma,52,Tulsa,38
2015-09-19,UTEP,50,New Mexico St,47
2015-09-19,Texas Tech,35,Arkansas,24
2015-09-19,South Alabama,34,San Diego St,27
2015-09-19,Oklahoma St,69,UT San Antonio,14
2015-09-19,Oregon,61,Georgia St,28
2015-09-19,Ohio,35,SE Louisiana,14
2015-09-19,Hawaii,47,UC Davis,27
2015-09-19,Florida Intl,39,NC Central,14
2015-09-19,Akron,52,Savannah St,9
2015-09-19,Maryland,35,South Florida,17
2015-09-19,MTSU,73,Charlotte,14
2015-09-19,Navy,45,East Carolina,21
2015-09-19,Idaho,41,Wofford,38
2015-09-24,Memphis,53,Cincinnati,46
2015-09-25,Boise St,56,Virginia,14
2015-09-25,Stanford,42,Oregon St,24
2015-09-26,Florida,28,Tennessee,27
2015-09-26,TCU,55,Texas Tech,52
2015-09-26,Texas A&M,28,Arkansas,21
2015-09-26,Nebraska,36,Southern Miss,28
2015-09-26,USC,42,Arizona St,14
2015-09-26,Georgia,48,Southern Univ,6
2015-09-26,Houston,59,Texas St,14
2015-09-26,Baylor,70,Rice,17
2015-09-26,Penn St,37,San Diego St,21
2015-09-26,Minnesota,27,Ohio,24
2015-09-26,Oklahoma St,30,Texas,27
2015-09-26,Mississippi St,17,Auburn,9
2015-09-26,Kentucky,21,Missouri,13
2015-09-26,Navy,28,Connecticut,18
2015-09-26,Notre Dame,62,Massachusetts,27
2015-09-26,WKU,56,Miami OH,14
2015-09-26,Illinois,27,MTSU,25
2015-09-26,Boston College,17,N Illinois,14
2015-09-26,Alabama,34,ULM,0
2015-09-26,Colorado,48,Nicholls St,0
2015-09-26,NC State,63,South Alabama,13
2015-09-26,Iowa,62,North Texas,16
2015-09-26,Nevada,24,Buffalo,21
2015-09-26,New Mexico,38,Wyoming,28
2015-09-26,Northwestern,24,Ball St,19
2015-09-26,Army,58,E Michigan,36
2015-09-26,Akron,35,ULL,14
2015-09-26,Toledo,37,Arkansas St,7
2015-09-26,Appalachian St,49,Old Dominion,0
2015-09-26,California,30,Washington,24
2015-09-26,Michigan,31,BYU,0
2015-09-26,Bowling Green,35,Purdue,28
2015-09-26,North Carolina,41,Delaware,14
2015-09-26,Michigan St,30,C Michigan,10
2015-09-26,Colorado St,33,UT San Antonio,31
2015-09-26,Indiana,31,Wake Forest,24
2015-09-26,Duke,34,Georgia Tech,20
2015-09-26,Wisconsin,28,Hawaii,0
2015-09-26,San Jose St,49,Fresno St,23
2015-09-26,Marshall,36,Kent,29
2015-09-26,West Virginia,45,Maryland,6
2015-09-26,LSU,34,Syracuse,24
2015-09-26,UNLV,80,Idaho St,8
2015-09-26,James Madison,48,SMU,45
2015-09-26,Rutgers,27,Kansas,14
2015-09-26,Ohio St,38,W Michigan,12
2015-09-26,Louisville,45,Samford,3
2015-09-26,South Carolina,31,UCF,14
2015-09-26,Utah,62,Oregon,20
2015-09-26,UCLA,56,Arizona,30
2015-09-26,Mississippi,27,Vanderbilt,16
2015-09-26,East Carolina,35,Virginia Tech,28
2015-09-26,FL Atlantic,17,Charlotte,7
2015-09-26,Louisiana Tech,27,Florida Intl,17
2015-09-26,UTEP,27,Incarnate Word,17
2015-09-26,Ga Southern,44,Idaho,20
2015-10-01,Cincinnati,34,Miami FL,23
2015-10-02,Memphis,24,South Florida,17
2015-10-02,BYU,30,Connecticut,13
2015-10-02,Temple,37,Charlotte,3
2015-10-03,Utah St,33,Colorado St,18
2015-10-03,East Carolina,49,SMU,23
2015-10-03,Bowling Green,28,Buffalo,22
2015-10-03,Arkansas,24,Tennessee,20
2015-10-03,Stanford,55,Arizona,17
2015-10-03,Arizona St,38,UCLA,23
2015-10-03,Alabama,38,Georgia,10
2015-10-03,Penn St,20,Army,14
2015-10-03,Duke,9,Boston College,7
2015-10-03,Ga Southern,51,ULM,31
2015-10-03,San Diego St,21,Fresno St,7
2015-10-03,LSU,44,E Michigan,22
2015-10-03,Kentucky,34,E Kentucky,27
2015-10-03,Florida St,24,Wake Forest,16
2015-10-03,Houston,38,Tulsa,24
2015-10-03,Boise St,55,Hawaii,0
2015-10-03,Arkansas St,49,Idaho,35
2015-10-03,Iowa,10,Wisconsin,6
2015-10-03,Oklahoma St,36,Kansas St,34
2015-10-03,Iowa St,38,Kansas,13
2015-10-03,Louisville,20,NC State,13
2015-10-03,Kent,20,Miami OH,14
2015-10-03,Michigan,28,Maryland,0
2015-10-03,Illinois,14,Nebraska,13
2015-10-03,UNLV,23,Nevada,17
2015-10-03,Texas A&M,30,Mississippi St,17
2015-10-03,Northwestern,27,Minnesota,0
2015-10-03,Florida,38,Mississippi,10
2015-10-03,New Mexico,38,New Mexico St,29
2015-10-03,North Carolina,38,Georgia Tech,31
2015-10-03,C Michigan,29,N Illinois,19
2015-10-03,Southern Miss,49,North Texas,14
2015-10-03,Clemson,24,Notre Dame,22
2015-10-03,Ohio St,34,Indiana,27
2015-10-03,Ohio,14,Akron,12
2015-10-03,Oregon,41,Colorado,24
2015-10-03,Missouri,24,South Carolina,10
2015-10-03,Auburn,35,San Jose St,21
2015-10-03,Pittsburgh,17,Virginia Tech,13
2015-10-03,Michigan St,24,Purdue,21
2015-10-03,Louisiana Tech,43,ULL,14
2015-10-03,TCU,50,Texas,7
2015-10-03,Marshall,27,Old Dominion,7
2015-10-03,South Alabama,24,Troy,18
2015-10-03,Massachusetts,24,Florida Intl,14
2015-10-03,UT San Antonio,25,UTEP,6
2015-10-03,Vanderbilt,17,MTSU,13
2015-10-03,Baylor,63,Texas Tech,35
2015-10-03,Toledo,24,Ball St,10
2015-10-03,Tulane,45,UCF,31
2015-10-03,Appalachian St,31,Wyoming,13
2015-10-03,Liberty,41,Georgia St,33
2015-10-03,Oklahoma,44,West Virginia,24
2015-10-03,WKU,49,Rice,10
2015-10-03,California,34,Washington St,28
2015-10-03,Navy,33,Air Force,11
2015-10-08,Houston,49,SMU,28
2015-10-08,Washington,17,USC,12
2015-10-09,Virginia Tech,28,NC State,13
2015-10-09,Marshall,31,Southern Miss,10
2015-10-10,Mississippi,52,New Mexico St,3
2015-10-10,Nevada,35,New Mexico,17
2015-10-10,Tulsa,34,ULM,24
2015-10-10,Michigan,38,Northwestern,0
2015-10-10,Notre Dame,41,Navy,24
2015-10-10,Ohio,34,Miami OH,3
2015-10-10,Florida St,29,Miami FL,24
2015-10-10,Michigan St,31,Rutgers,24
2015-10-10,Minnesota,41,Purdue,13
2015-10-10,WKU,58,MTSU,28
2015-10-10,ULL,49,Texas St,27
2015-10-10,South Florida,45,Syracuse,24
2015-10-10,TCU,52,Kansas St,45
2015-10-10,Rice,27,FL Atlantic,26
2015-10-10,San Jose St,33,UNLV,27
2015-10-10,San Diego St,28,Hawaii,14
2015-10-10,Oklahoma St,33,West Virginia,26
2015-10-10,Texas,24,Oklahoma,17
2015-10-10,Arizona,44,Oregon St,7
2015-10-10,Akron,47,E Michigan,21
2015-10-10,Appalachian St,37,Georgia St,3
2015-10-10,Alabama,27,Arkansas,14
2015-10-10,Boise St,41,Colorado St,10
2015-10-10,Baylor,66,Kansas,7
2015-10-10,N Illinois,59,Ball St,41
2015-10-10,Utah,30,California,24
2015-10-10,W Michigan,41,C Michigan,39
2015-10-10,BYU,45,East Carolina,38
2015-10-10,Duke,44,Army,3
2015-10-10,Connecticut,40,UCF,13
2015-10-10,Arizona St,48,Colorado,23
2015-10-10,Louisiana Tech,34,UT San Antonio,31
2015-10-10,Ohio St,49,Maryland,28
2015-10-10,Bowling Green,62,Massachusetts,38
2015-10-10,LSU,45,South Carolina,24
2015-10-10,Toledo,38,Kent,7
2015-10-10,Texas Tech,66,Iowa St,31
2015-10-10,Penn St,29,Indiana,7
2015-10-10,Iowa,29,Illinois,20
2015-10-10,Clemson,43,Georgia Tech,24
2015-10-10,Florida,21,Missouri,3
2015-10-10,Tennessee,38,Georgia,31
2015-10-10,Wake Forest,3,Boston College,0
2015-10-10,Pittsburgh,26,Virginia,19
2015-10-10,Utah St,56,Fresno St,14
2015-10-10,Florida Intl,52,UTEP,12
2015-10-10,Temple,49,Tulane,10
2015-10-10,Washington St,45,Oregon,38
2015-10-10,Mississippi St,45,Troy,17
2015-10-10,Wisconsin,23,Nebraska,21
2015-10-10,Air Force,31,Wyoming,17
2015-10-10,Portland St,66,North Texas,7
2015-10-13,Arkansas St,49,South Alabama,31
2015-10-15,Auburn,30,Kentucky,27
2015-10-15,Stanford,56,UCLA,35
2015-10-15,WKU,55,North Texas,28
2015-10-16,Houston,42,Tulane,7
2015-10-16,Utah St,52,Boise St,26
2015-10-16,BYU,38,Cincinnati,24
2015-10-16,Fresno St,31,UNLV,28
2015-10-17,New Mexico,28,Hawaii,27
2015-10-17,Idaho,19,Troy,16
2015-10-17,LSU,35,Florida,28
2015-10-17,Toledo,63,E Michigan,20
2015-10-17,Iowa,40,Northwestern,10
2015-10-17,Kent,15,Massachusetts,10
2015-10-17,Marshall,33,FL Atlantic,17
2015-10-17,Mississippi St,45,Louisiana Tech,20
2015-10-17,Florida St,41,Louisville,21
2015-10-17,Clemson,34,Boston College,17
2015-10-17,Utah,34,Arizona St,18
2015-10-17,Arizona,38,Colorado,31
2015-10-17,Appalachian St,59,ULM,14
2015-10-17,Alabama,41,Texas A&M,23
2015-10-17,Bowling Green,59,Akron,10
2015-10-17,Colorado St,38,Air Force,23
2015-10-17,Army,21,Bucknell,14
2015-10-17,Ohio St,38,Penn St,10
2015-10-17,Oregon,26,Washington,20
2015-10-17,Washington St,52,Oregon St,31
2015-10-17,Oklahoma,55,Kansas St,0
2015-10-17,San Diego St,30,San Jose St,7
2015-10-17,Pittsburgh,31,Georgia Tech,28
2015-10-17,Rutgers,55,Indiana,52
2015-10-17,Wisconsin,24,Purdue,7
2015-10-17,TCU,45,Iowa St,21
2015-10-17,Virginia,44,Syracuse,38
2015-10-17,Notre Dame,41,USC,31
2015-10-17,Michigan St,27,Michigan,23
2015-10-17,Nebraska,48,Minnesota,25
2015-10-17,Memphis,37,Mississippi,24
