Alabama,36.5
Ohio State,29.3
Clemson,27.7
Georgia,23.1
Oklahoma,21.7
Notre Dame,20.9
Wisconsin,20
Florida,19.4
Texas,17.9
Texas A&M,17.2
Iowa,17
Iowa State,16.5
Indiana,16.1
USC,15.9
Cincinnati,15.7
BYU,15.2
Oregon,14.6
Auburn,14.5
UCF,14.2
Oklahoma State,13.7
Arizona State,11.8
TCU,11.8
Northwestern,11.6
North Carolina,10.8
Penn State,10.7
Miami,10.3
Utah,9.8
UCLA,9.7
LSU,9.6
Coastal Carolina,8.1
Virginia Tech,7.5
Washington,7.4
West Virginia,7.4
Buffalo,7.2
Louisiana,6.7
Louisville,6.5
Boise State,6.3
Tulsa,6.3
Stanford,6.1
Pittsburgh,5.8
Appalachian State,5.6
Ole Miss,5.5
Kentucky,5.3
Missouri,5.3
Wake Forest,5.3
Michigan,4.8
Tennessee,4.4
Nebraska,4.2
Baylor,4
Minnesota,4
Purdue,3.7
Marshall,3.6
California,3.6
Houston,3.6
Colorado,3.6
Boston College,3.2
Arkansas,3.2
Virginia,2.8
Tulane,2.7
Kansas State,2.2
Washington State,2.1
Mississippi State,1.8
Oregon State,1.7
NC State,1.6
San Diego State,1.4
SMU,1.1
Rutgers,0.6
UAB,0.6
Memphis,0.5
Texas Tech,-0.2
San Jose State,-0.2
Illinois,-0.7
Wyoming,-0.8
Air Force,-1
South Carolina,-1.3
Maryland,-1.7
Army,-1.9
Liberty,-2
Michigan State,-2.7
Nevada,-2.8
Toledo,-2.9
W Michigan,-3
Ball State,-3.2
Ohio,-3.5
Florida State,-3.5
Kent State,-3.9
C Michigan,-4.3
Georgia Tech,-4.3
Miami (OH),-4.8
Troy,-5.1
East Carolina,-5.2
Ga Southern,-5.6
Georgia State,-6
FAU,-6.2
Rice,-6.6
Arizona,-6.7
Fresno State,-7.1
Duke,-7.1
Colorado State,-7.9
Arkansas State,-8.2
Syracuse,-8.2
Hawai'i,-8.6
Navy,-8.8
UTSA,-8.9
W Kentucky,-9
E Michigan,-9.2
Louisiana Tech,-9.5
South Florida,-11
New Mexico,-11.7
Charlotte,-12.3
Vanderbilt,-12.5
Temple,-12.5
N Illinois,-12.6
South Alabama,-13.3
Texas State,-14.3
Southern Miss,-14.5
Kansas,-15.7
Utah State,-17.4
North Texas,-17.5
Mid Tennessee,-17.7
FIU,-18.7
UNLV,-19.1
UTEP,-22.7
Akron,-25.4
UL Monroe,-25.5
Bowling Green,-30.8
UMass,-33.1
