Alabama,35.3
Ohio State,28.9
Clemson,28.7
Georgia,22.8
Oklahoma,21.6
Notre Dame,19.7
Florida,19.4
Wisconsin,18.2
Texas A&M,18
Texas,17.9
Iowa,17
Iowa State,16.5
Indiana,16
Oregon,15.6
BYU,15.1
Cincinnati,14.9
USC,14.5
Auburn,14.4
UCF,14.1
Oklahoma State,13.7
Penn State,12.3
TCU,11.8
Northwestern,11.7
Arizona State,11.4
North Carolina,10.7
Miami,10.4
Utah,10.4
LSU,9.3
UCLA,8.8
Coastal Carolina,8
Washington,7.6
Virginia Tech,7.6
West Virginia,7.4
Stanford,7.3
Tulsa,7.1
Louisiana,6.7
Louisville,6.4
Pittsburgh,5.8
Appalachian State,5.5
Ole Miss,5.5
Minnesota,5.5
Wake Forest,5.4
Buffalo,5.2
Kentucky,5.1
Nebraska,4.9
Michigan,4.9
Boise State,4.6
Missouri,4
Baylor,3.9
California,3.9
Purdue,3.7
Colorado,3.7
Houston,3.5
Tennessee,3.3
Boston College,3.2
Arkansas,3
Virginia,2.9
Mississippi State,2.9
Tulane,2.7
Marshall,2.5
Kansas State,2.2
Oregon State,1.9
UAB,1.8
San Diego State,1.6
San Jose State,1.6
NC State,1.6
SMU,1.1
Washington State,1.1
Memphis,0.4
Rutgers,0
Texas Tech,-0.2
Air Force,-0.9
Wyoming,-1
Ball State,-1.4
Maryland,-1.5
South Carolina,-1.5
Army,-2
Liberty,-2
Illinois,-2.3
Nevada,-2.6
Michigan State,-2.6
Toledo,-2.6
W Michigan,-2.8
Ohio,-3.5
Florida State,-3.6
Kent State,-4
C Michigan,-4
Georgia Tech,-4.3
Miami (OH),-4.9
Troy,-5.1
East Carolina,-5.2
Ga Southern,-5.6
Georgia State,-6
FAU,-6.3
Rice,-6.5
Arizona,-7
Fresno State,-7
Duke,-7.2
Colorado State,-8.2
Arkansas State,-8.2
Syracuse,-8.2
Hawai'i,-8.5
Navy,-8.7
UTSA,-8.9
E Michigan,-8.9
W Kentucky,-9
Louisiana Tech,-9.5
South Florida,-11.2
New Mexico,-11.5
Charlotte,-12.3
Temple,-12.5
N Illinois,-12.5
Vanderbilt,-12.6
South Alabama,-13.2
Texas State,-14.3
Southern Miss,-14.5
Kansas,-15.7
North Texas,-17.5
Utah State,-17.5
Mid Tennessee,-17.8
FIU,-18.7
UNLV,-18.8
UTEP,-22.7
UL Monroe,-25.5
Akron,-25.6
Bowling Green,-31.1
UMass,-33.3
