Alabama,31.7
OSU,28.1
Michigan,27.8
Washington,26.1
Clemson,25.8
Louisville,22.7
LSU,22.1
Oklahoma,21.9
FSU,21.5
USC,20.3
Auburn,20.1
Penn State,18
Wisconsin,17.8
Colorado,16.3
Texas A&M,16.2
Miami,16
Washington St,15.4
Oklahoma State,15.4
Tennessee,15
Stanford,14.4
West Virginia,14.1
UNC,14.1
VT,13.2
Pitt,13
W Michigan,13
Iowa,12.6
Florida,12.6
Ole Miss,11.3
Kansas State,11.3
Boise State,11
BYU,10.8
W Kentucky,10.7
Houston,10.6
Utah,10.5
TCU,10.1
Temple,9.8
Notre Dame,9.6
USF,9.6
UCLA,8.4
Nebraska,7.8
Northwestern,7.7
Texas,7.6
Georgia,7.4
NC State,7.4
Baylor,7.4
Miss St,7.2
Memphis,6.8
Georgia Tech,6.7
Minnesota,6.7
Arkansas,6.6
San Diego State,6.3
Vanderbilt,5.7
Tulsa,5.4
Navy,4.8
Toledo,4.7
Cal,4.4
Texas Tech,4.4
Michigan State,4.2
Appalachian St,4.2
Oregon,4
LA Tech,3.6
Kentucky,2.9
Missouri,2.1
Duke,1.5
Iowa State,1
Wake Forest,1
UCF,1
Arizona State,0.8
Indiana,0.7
Oregon State,0.4
Colorado State,0.4
Air Force,0.3
Troy,0.2
South Carolina,-0.5
Maryland,-1.6
Army,-1.8
Boston College,-1.8
Arizona,-2.1
Wyoming,-2.4
Syracuse,-3
New Mexico,-3.2
N Illinois,-3.3
Mid Tennessee,-3.6
Arkansas State,-3.6
Cent Michigan,-3.8
UVA,-4.2
Old Dominion,-4.6
Ohio,-5.1
Cincinnati,-5.2
Utah State,-5.2
Illinois,-5.8
Southern Miss,-5.8
SMU,-5.9
Ga Southern,-6.1
Tulane,-7.2
Purdue,-8.6
ECU,-8.6
Idaho,-8.8
Miami (OH),-8.8
Nevada,-9
UTSA,-9.6
Ball State,-9.7
San Jose State,-9.8
E Michigan,-10
Kansas,-10
Louisiana,-10.4
UNLV,-11
Kent State,-11.7
Rutgers,-11.8
Akron,-11.9
UConn,-11.9
South Alabama,-12.1
Georgia State,-12.3
Marshall,-12.7
Hawai'i,-13.3
Bowling Green,-14.5
North Texas,-15.4
UMass,-15.6
FAU,-16.2
Fresno State,-16.2
Rice,-16.3
FIU,-16.5
New Mexico St,-17.6
UTEP,-17.6
Charlotte,-17.8
UL Monroe,-18.9
Buffalo,-19.7
Texas State,-26.2
