2016-08-26,California,51,Hawaii,31
2016-09-01,C Michigan,49,Presbyterian,3
2016-09-01,Cincinnati,28,TN Martin,7
2016-09-01,Connecticut,24,Maine,21
2016-09-01,Indiana,34,Florida Intl,13
2016-09-01,Louisville,70,Charlotte,14
2016-09-01,NC State,48,William & Mary,14
2016-09-01,Wake Forest,7,Tulane,3
2016-09-01,Minnesota,30,Oregon St,23
2016-09-01,South Carolina,13,Vanderbilt,10
2016-09-01,Utah,24,Southern Utah,0
2016-09-01,Utah St,45,Weber St,6
2016-09-01,Idaho,20,Montana St,17
2016-09-01,UNLV,63,Jackson St,13
2016-09-01,Tennessee,20,Appalachian St,13
2016-09-01,WKU,46,Rice,14
2016-09-01,New Mexico,48,South Dakota,21
2016-09-02,Albany NY,22,Buffalo,16
2016-09-02,E Michigan,61,MS Valley St,14
2016-09-02,Ball St,31,Georgia St,21
2016-09-02,Syracuse,33,Colgate,7
2016-09-02,Colorado,44,Colorado St,7
2016-09-02,Stanford,26,Kansas St,13
2016-09-02,Army,28,Temple,13
2016-09-02,Nevada,30,Cal Poly,27
2016-09-02,Michigan St,28,Furman,13
2016-09-02,Toledo,31,Arkansas St,10
2016-09-02,Baylor,55,Northwestern LA,7
2016-09-03,Georgia Tech,17,Boston College,14
2016-09-03,Akron,47,VMI,24
2016-09-03,Duke,49,NC Central,6
2016-09-03,East Carolina,52,W Carolina,7
2016-09-03,Florida,24,Massachusetts,7
2016-09-03,FL Atlantic,38,S Illinois,30
2016-09-03,Ga Southern,54,Savannah St,0
2016-09-03,Southern Miss,44,Kentucky,35
2016-09-03,Maryland,52,Howard,13
2016-09-03,Miami FL,70,Florida A&M,3
2016-09-03,Michigan,63,Hawaii,3
2016-09-03,Navy,52,Fordham,16
2016-09-03,Georgia,33,North Carolina,24
2016-09-03,Texas St,56,Ohio,54
2016-09-03,Ohio St,77,Bowling Green,10
2016-09-03,Penn St,33,Kent,13
2016-09-03,Pittsburgh,28,Villanova,7
2016-09-03,Purdue,45,E Kentucky,24
2016-09-03,South Florida,56,Towson,20
2016-09-03,UCF,38,S Carolina St,0
2016-09-03,Richmond,37,Virginia,20
2016-09-03,Virginia Tech,36,Liberty,13
2016-09-03,West Virginia,26,Missouri,11
2016-09-03,Alabama,52,USC,6
2016-09-03,Arkansas,21,Louisiana Tech,20
2016-09-03,Illinois,52,Murray St,3
2016-09-03,Iowa,45,Miami OH,21
2016-09-03,Northern Iowa,25,Iowa St,20
2016-09-03,Kansas,55,Rhode Island,6
2016-09-03,Boise St,45,ULL,10
2016-09-03,ULM,38,Southern Univ,21
