2014-09-06,UNLV,13,N Colorado,12
2014-09-06,Washington,59,E Washington,52
2014-09-06,Oregon,46,Michigan St,27
2014-09-06,USC,13,Stanford,10
2014-09-06,Arkansas,73,Nicholls St,7
2014-09-06,Florida,65,E Michigan,0
2014-09-06,Ga Southern,83,Savannah St,9
2014-09-06,ULM,38,Idaho,31
2014-09-06,Arizona St,58,New Mexico,23
2014-09-06,LSU,56,Sam Houston St,0
2014-09-06,Notre Dame,31,Michigan,0
2014-09-06,Texas A&M,73,Lamar,3
2014-09-06,Virginia Tech,35,Ohio St,21
2014-09-06,Utah St,40,Idaho St,20
2014-09-06,Boise St,37,Colorado St,24
2014-09-06,Oregon St,38,Hawaii,30
2014-09-11,Louisiana Tech,42,North Texas,21
2014-09-11,BYU,33,Houston,25
2014-09-12,Baylor,63,Buffalo,21
2014-09-12,Cincinnati,58,Toledo,34
2014-09-13,Indiana St,27,Ball St,20
2014-09-13,Bowling Green,45,Indiana,42
2014-09-13,Syracuse,40,C Michigan,3
2014-09-13,Boise St,38,Connecticut,21
2014-09-13,Duke,41,Kansas,3
2014-09-13,Pittsburgh,42,Florida Intl,25
2014-09-13,FL Atlantic,50,Tulsa,21
2014-09-13,Air Force,48,Georgia St,38
2014-09-13,Georgia Tech,42,Ga Southern,38
2014-09-13,Marshall,44,Ohio,14
2014-09-13,West Virginia,40,Maryland,37
2014-09-13,Miami FL,41,Arkansas St,20
2014-09-13,Michigan,34,Miami OH,10
2014-09-13,Ohio St,66,Kent,0
2014-09-13,Old Dominion,17,E Michigan,3
2014-09-13,South Carolina,38,Georgia,35
2014-09-13,NC State,49,South Florida,17
2014-09-13,East Carolina,28,Virginia Tech,21
2014-09-13,Missouri,38,UCF,10
2014-09-13,Virginia,23,Louisville,21
2014-09-13,Boston College,37,USC,31
2014-09-13,Alabama,52,Southern Miss,12
2014-09-13,Iowa St,20,Iowa,17
2014-09-13,LSU,31,ULM,0
2014-09-13,MTSU,50,WKU,47
2014-09-13,Oklahoma,34,Tennessee,10
2014-09-13,Oklahoma St,43,UT San Antonio,13
2014-09-13,Mississippi St,35,South Alabama,3
2014-09-13,TCU,30,Minnesota,7
2014-09-13,Texas A&M,38,Rice,10
2014-09-13,Navy,35,Texas St,21
2014-09-13,Arkansas,49,Texas Tech,28
2014-09-13,Abilene Chr,38,Troy,35
2014-09-13,Tulane,35,SE Louisiana,20
2014-09-13,UAB,41,Alabama A&M,14
2014-09-13,Vanderbilt,34,Massachusetts,31
2014-09-13,UCLA,20,Texas,17
2014-09-13,Colorado St,49,UC Davis,21
2014-09-13,UTEP,42,New Mexico St,24
2014-09-13,Arizona St,38,Colorado,24
2014-09-13,Arizona,35,Nevada,28
2014-09-13,W Michigan,45,Idaho,33
2014-09-13,Oregon,48,Wyoming,14
2014-09-13,Stanford,35,Army,0
2014-09-13,N Illinois,48,UNLV,34
2014-09-13,Washington,44,Illinois,19
2014-09-13,Washington St,59,Portland St,21
2014-09-13,Mississippi,56,ULL,15
2014-09-13,Hawaii,27,Northern Iowa,24
2014-09-13,Utah St,36,Wake Forest,24
2014-09-13,Florida,36,Kentucky,30
2014-09-13,Notre Dame,30,Purdue,14
