Alabama,28.2
OSU,26.4
Clemson,25.1
Penn State,24.8
Georgia,24.7
Auburn,22.4
Oklahoma,22.2
Washington,22.2
Wisconsin,21.2
Notre Dame,18.8
TCU,16.6
Oklahoma State,16.5
Stanford,16.3
USC,14.1
Miami,14.1
VT,14
LSU,13.6
Louisville,13.4
Miss St,12.8
FSU,12.7
UCF,12.6
NC State,12.4
Michigan,11.9
Iowa,11.3
Oregon,10.6
Northwestern,10.2
Texas,9.9
Iowa State,9.8
Memphis,9.1
Wake Forest,8.9
Washington St,8.4
Kansas State,7.9
Georgia Tech,7.8
Boston College,7.5
Missouri,6.6
South Carolina,6.5
Michigan State,6.5
UCLA,6.1
Utah,6
Duke,6
Arizona,6
West Virginia,5.7
Texas Tech,5.7
Texas A&M,5.6
Boise State,5.1
Arizona State,5
USF,4.5
Toledo,3.7
Indiana,3.6
Purdue,3.5
Florida,3.5
San Diego State,3.2
Cal,2.4
Houston,2.2
Ole Miss,2
Pitt,2
UNC,1.1
Syracuse,0.8
Kentucky,0.7
Fresno State,0.6
FAU,0.4
Ohio,0.1
Navy,-0.2
Army,-0.2
Colorado,-0.3
Minnesota,-0.4
SMU,-0.7
UVA,-1.3
Appalachian St,-1.4
Arkansas,-1.5
Troy,-1.5
Colorado State,-2.1
N Illinois,-2.2
Nebraska,-2.3
Tennessee,-2.8
Arkansas State,-3.3
Vanderbilt,-3.5
W Michigan,-3.7
Baylor,-4.4
Tulane,-4.7
Wyoming,-4.8
Marshall,-5
Temple,-5.2
Maryland,-5.3
Utah State,-5.4
E Michigan,-6.3
Cent Michigan,-6.3
Southern Miss,-7
Tulsa,-7.1
Air Force,-7.2
North Texas,-7.7
Buffalo,-7.8
UTSA,-8.1
Miami (OH),-8.1
Rutgers,-8.2
BYU,-8.2
LA Tech,-8.3
Mid Tennessee,-9.6
UMass,-9.7
Akron,-10.5
Nevada,-11.1
UAB,-11.4
New Mexico St,-11.8
UNLV,-11.8
UL Monroe,-12.1
Oregon State,-12.3
Illinois,-12.4
Cincinnati,-12.6
W Kentucky,-13.3
FIU,-13.4
New Mexico,-15.3
Idaho,-15.4
UConn,-16.2
South Alabama,-16.3
Bowling Green,-16.3
ECU,-16.6
Georgia State,-16.7
Kansas,-16.8
Ga Southern,-16.9
Hawai'i,-17.3
Louisiana,-18.1
Old Dominion,-18.3
C. Carolina,-18.5
Rice,-22.9
Kent State,-22.9
San Jose State,-24.6
Charlotte,-25.2
Ball State,-26
Texas State,-26.1
UTEP,-27.2
