Alabama,31.2
Clemson,30.1
Georgia,26
Michigan,22.1
Ohio State,21.4
Oklahoma,21
Notre Dame,20.2
Penn State,18.9
Miss St,18.4
Washington,17.4
West Virginia,16.4
Missouri,16.2
Florida,15.2
Iowa,14.5
Utah,14.5
LSU,14.2
Washington St,14
Texas A&M,14
Stanford,13.6
Auburn,13.4
Miami,12.9
Texas,12.5
UCF,12.1
Fresno State,12
NC State,11.4
Kentucky,10.8
Boise State,10.1
S Carolina,10
Oregon,10
Utah State,10
Mich. St.,9.9
Wisconsin,9.7
Syracuse,9.5
Oklahoma State,9.5
Purdue,9.2
Texas Tech,9.1
Georgia Tech,8.2
Boston College,8
Arizona State,7.5
Iowa State,7
Northwestern,6.9
Cincinnati,6.5
USC,6.4
TCU,6
Memphis,5.2
Vanderbilt,4.8
UVA,4.7
Appalachian St,4.6
Maryland,4.6
Duke,4.6
Pitt,4.3
Cal,4.3
Minnesota,3.4
VT,3.3
Nebraska,3
Temple,2.9
Ole Miss,2.8
Ohio,2.6
Houston,2.4
Wake Forest,2.2
Arizona,2.2
Indiana,1.9
Kansas State,1.8
Baylor,1.7
Tennessee,1.3
BYU,1.2
UCLA,1
FSU,0.8
Army,0.4
Colorado,0.4
Toledo,-0.1
North Texas,-0.4
UAB,-1.4
Buffalo,-1.7
Marshall,-2.5
Mid Tennessee,-2.5
UNC,-2.6
N Illinois,-2.9
Ga Southern,-2.9
Kansas,-3.4
Air Force,-3.5
San Diego State,-3.7
Troy,-3.9
Miami (OH),-4
Nevada,-4.2
E Michigan,-4.2
Arkansas State,-4.4
Tulane,-4.5
Wyoming,-4.7
FIU,-5
Arkansas,-5.3
FAU,-5.4
USF,-6.4
W Michigan,-6.5
LA Tech,-7.1
SMU,-7.6
Southern Miss,-8.2
Illinois,-8.5
Navy,-9.5
Tulsa,-10.1
Rutgers,-10.4
Louisiana,-10.9
Louisville,-12.1
Oregon St,-12.3
UL Monroe,-12.7
Hawai'i,-13.3
UMass,-13.4
Akron,-13.7
Charlotte,-14.3
UNLV,-14.4
Colorado State,-14.7
Ball State,-15.1
New Mexico,-15.1
Liberty,-15.3
W Kentucky,-15.7
C. Carolina,-15.7
Old Dominion,-15.8
Cent Michigan,-16
San Jose State,-16.6
ECU,-17.1
Georgia State,-18
Bowling Green,-18.7
Kent State,-19.3
UTSA,-21.2
New Mexico St,-21.2
Texas State,-21.2
South Alabama,-21.9
Rice,-23.6
UConn,-25.1
UTEP,-25.4
