Alabama,29.7
Ohio State,26.4
Georgia,25.4
Penn State,23.7
Clemson,22.8
Oklahoma,20.6
Michigan,20.4
Washington,20.2
Notre Dame,19.3
Miami,16.4
LSU,15.6
Auburn,15.5
Florida,15.4
Wisconsin,15.4
West Virginia,15
Stanford,14.6
Oklahoma State,13.9
Miss St,13.7
Texas A&M,13.7
Mich. St.,13.6
Boise State,13.5
Texas,12.3
Texas Tech,12
VT,11.4
Iowa,11
NC State,10.8
Missouri,10.7
Kentucky,10.6
Oregon,10.3
S Carolina,10.2
Fresno State,10.2
Washington St,9.8
Duke,9.7
USC,9.4
TCU,9.1
Utah,8.7
Arizona State,8.4
Syracuse,8.1
UCF,8.1
Boston College,8
Appalachian St,7.6
Georgia Tech,5.8
Iowa State,5.5
Northwestern,5.1
Utah State,4.9
Purdue,4.9
Maryland,4.9
Memphis,4.3
North Texas,4.3
Houston,4.2
Ole Miss,3.9
Cal,3.6
Colorado,3
Wake Forest,2.9
FSU,2.8
UVA,2.7
Arizona,2.7
Cincinnati,2.6
Minnesota,2.4
Baylor,2.3
Indiana,2.2
BYU,0.7
USF,0.7
Vanderbilt,0.5
San Diego State,0.2
Army,0
Tennessee,0
Toledo,-1.3
LA Tech,-1.5
Kansas State,-1.6
W Michigan,-3.2
Marshall,-3.3
Louisville,-3.3
UCLA,-3.4
Kansas,-3.5
Tulane,-3.5
UNC,-3.8
Arkansas,-3.9
Pitt,-3.9
Temple,-4.1
Troy,-4.2
Nebraska,-4.4
Arkansas State,-5.2
FIU,-5.4
N Illinois,-5.5
Ga Southern,-5.6
E Michigan,-5.7
Buffalo,-6.1
Ohio,-6.2
Illinois,-6.2
Air Force,-6.5
FAU,-6.6
Navy,-7
Tulsa,-7.1
Akron,-7.1
Wyoming,-7.9
UNLV,-8
UAB,-8.3
Mid Tennessee,-8.3
Nevada,-8.4
Southern Miss,-8.5
SMU,-8.9
Miami (OH),-9.9
Oregon St,-10.1
Ball State,-10.5
Cent Michigan,-11
Hawai'i,-11.2
C. Carolina,-12
Rutgers,-12.3
ECU,-12.4
W Kentucky,-12.5
UMass,-12.9
New Mexico,-13.1
Liberty,-13.6
Old Dominion,-15.2
Colorado State,-15.3
Georgia State,-16.2
San Jose State,-16.4
UL Monroe,-16.5
Louisiana,-17.7
South Alabama,-18.7
UTSA,-18.8
Kent State,-19.2
Charlotte,-20.6
Bowling Green,-20.8
UConn,-21.9
Rice,-22.7
New Mexico St,-23
Texas State,-23.9
UTEP,-27.4
