Clemson,30.7
Alabama,30.4
Georgia,25.2
Michigan,23.8
Oklahoma,20.8
Notre Dame,20.2
Ohio State,19.8
Penn State,17.9
Miss St,17.2
West Virginia,16.9
Washington,16.1
Iowa,15.6
Utah,15.3
Missouri,15
Washington St,14.9
Texas A&M,14.3
Florida,13.9
Auburn,13.8
LSU,13.8
Texas,13.4
Stanford,13.1
Miami,12.8
Fresno State,12.4
Wisconsin,11.8
Mich. St.,11.4
UCF,11.3
Texas Tech,10.6
Boise State,10.3
Oklahoma State,10.3
S Carolina,10.2
Utah State,10.2
NC State,10.1
Iowa State,9.9
Boston College,9.2
Purdue,9.1
Georgia Tech,9
Kentucky,8.7
Oregon,8.6
Duke,8.4
Northwestern,8.4
Syracuse,8
Arizona State,7.6
USC,6.3
TCU,5.7
Maryland,5.6
Appalachian St,5.3
UVA,5.2
Pitt,5.1
Cincinnati,5.1
Memphis,4.6
Cal,4.4
Ole Miss,4.3
Houston,3.8
Vanderbilt,3.3
VT,2.7
Ohio,2.5
Nebraska,2.4
Arizona,2.2
Tennessee,2.2
Indiana,2.1
FSU,1.6
Kansas State,1.4
Minnesota,1.3
Temple,1.3
Baylor,0.9
UCLA,0.8
North Texas,0.6
BYU,0.6
Colorado,0.5
Army,0.4
UAB,-0.3
Toledo,-1.1
Wake Forest,-1.2
N Illinois,-2.2
Marshall,-2.3
UNC,-2.5
San Diego State,-2.8
Air Force,-2.9
Buffalo,-2.9
Ga Southern,-3.4
Kansas,-3.4
Nevada,-3.6
Mid Tennessee,-3.8
Troy,-3.9
E Michigan,-3.9
FAU,-4.1
Tulane,-4.2
Arkansas,-4.4
Miami (OH),-4.7
FIU,-4.9
Arkansas State,-5.1
USF,-5.2
LA Tech,-5.4
Wyoming,-6.3
W Michigan,-6.9
SMU,-7.3
Illinois,-9.1
Southern Miss,-9.4
Navy,-9.9
Tulsa,-10
Oregon St,-10.9
Louisville,-11
Rutgers,-11.5
Louisiana,-11.5
UL Monroe,-12.5
UMass,-13.4
Akron,-13.4
New Mexico,-13.5
ECU,-13.8
Old Dominion,-14.3
Hawai'i,-14.7
Ball State,-14.7
Cent Michigan,-14.9
UNLV,-15.1
C. Carolina,-15.2
Colorado State,-15.3
Charlotte,-15.4
Liberty,-15.7
W Kentucky,-17
Georgia State,-17.4
Bowling Green,-17.6
San Jose State,-17.7
Kent State,-19.5
Texas State,-20.6
New Mexico St,-21.6
UTSA,-22
South Alabama,-22.2
UConn,-22.8
UTEP,-24.3
Rice,-24.8
