Alabama,30.4
Clemson,29.5
Georgia,25.5
Oklahoma,23.1
Michigan,22.8
Ohio State,21.5
Penn State,20.4
Notre Dame,17.5
Washington,17.2
LSU,17
Utah,16.4
Florida,15.5
West Virginia,15.4
Iowa,15.4
Miss St,15.3
Miami,13.6
Texas A&M,13.6
Auburn,13.2
Texas Tech,12.7
Wisconsin,12.6
Mich. St.,12.6
Washington St,12.5
Texas,12.4
Stanford,12.1
Fresno State,12.1
Missouri,11.9
Purdue,11.8
Kentucky,10.8
Iowa State,9.9
Boston College,9.9
UCF,9.7
Oklahoma State,9.6
Boise State,9.6
Utah State,9.4
S Carolina,9.3
NC State,9.1
Georgia Tech,9.1
Duke,8.1
TCU,7.9
Syracuse,7.7
USC,7.6
Oregon,7.5
Northwestern,7.1
Arizona State,7
VT,6.7
Houston,5.8
Maryland,5.8
UVA,5.4
Ole Miss,5.2
Appalachian St,4.9
Arizona,3.9
Army,3.8
Cincinnati,3.6
Cal,3.5
Memphis,3.2
Tennessee,3
FSU,2.9
Colorado,2.8
Vanderbilt,2.2
North Texas,1.9
Minnesota,1.5
Indiana,1.4
Baylor,1.1
Nebraska,0.7
UCLA,0.6
Pitt,0.4
Kansas State,0.1
Wake Forest,-0.4
Temple,-0.6
Toledo,-1.1
BYU,-1.2
UAB,-1.2
Ga Southern,-1.7
USF,-2
Buffalo,-2.2
San Diego State,-2.3
Ohio,-2.5
UNC,-2.8
Marshall,-2.9
LA Tech,-3.1
N Illinois,-3.2
Arkansas,-3.3
E Michigan,-3.4
Air Force,-3.5
Troy,-3.8
Kansas,-4
W Michigan,-4.1
FIU,-4.8
Tulane,-4.9
Mid Tennessee,-4.9
Nevada,-5.3
Miami (OH),-5.3
Louisville,-7
Arkansas State,-7.1
Wyoming,-7.4
FAU,-8.2
Illinois,-8.3
SMU,-8.7
Tulsa,-9.4
Navy,-10.2
Southern Miss,-10.9
Akron,-10.9
Oregon St,-11.2
Louisiana,-12
New Mexico,-12
C. Carolina,-12.4
UMass,-13
Rutgers,-13.2
Liberty,-13.4
Hawai'i,-13.5
Cent Michigan,-13.7
Colorado State,-14.2
Ball State,-14.4
UNLV,-14.7
UL Monroe,-15.9
Charlotte,-16.4
Georgia State,-16.5
ECU,-16.9
San Jose State,-17.1
W Kentucky,-17.9
Old Dominion,-18.2
UTSA,-18.3
Kent State,-18.9
Bowling Green,-20.2
South Alabama,-20.3
New Mexico St,-21.6
UConn,-21.7
Texas State,-22.2
UTEP,-23.8
Rice,-25
