Alabama,31.9
Clemson,30.3
Georgia,25.6
Michigan,24.5
Oklahoma,21.7
Ohio State,20.2
Notre Dame,18.8
Penn State,18.6
West Virginia,17.6
Washington,16.9
Miss St,15.6
LSU,14.5
Utah,14.4
Texas A&M,14.1
Iowa,13.9
Missouri,13.2
Auburn,13.2
Washington St,13.1
Fresno State,13.1
Texas,13
Stanford,12.7
Florida,12.6
Texas Tech,12.4
Mich. St.,12.3
Wisconsin,11.7
Utah State,11.6
Miami,11.5
Iowa State,10.6
S Carolina,10
UCF,9.9
Boston College,9.8
Oklahoma State,9.6
Georgia Tech,9.5
Boise State,9.4
Purdue,9.4
Syracuse,9.2
Duke,8.7
Kentucky,8.6
Oregon,8.5
NC State,8.2
Northwestern,8
Arizona State,7.6
USC,7
Cincinnati,6
TCU,5.2
Ole Miss,5
Appalachian St,5
Maryland,4.9
Cal,4.4
Memphis,4.2
UVA,4.2
Tennessee,3.9
Pitt,3.8
VT,3.8
Arizona,3.8
Vanderbilt,2.7
Houston,2.7
Nebraska,2.4
Minnesota,1.8
Baylor,1.5
Colorado,1.4
FSU,1.1
Temple,1
Indiana,1
North Texas,0.9
Army,0.9
Ohio,0.4
UCLA,0.3
Kansas State,0.2
BYU,0.2
Wake Forest,0
UAB,0
Buffalo,-1.1
Toledo,-1.5
N Illinois,-1.5
UNC,-2
Air Force,-2.4
Troy,-2.7
Arkansas,-2.8
Tulane,-3
Marshall,-3.2
San Diego State,-3.3
Nevada,-3.5
E Michigan,-3.7
Mid Tennessee,-4.3
Kansas,-4.4
Ga Southern,-4.5
USF,-4.8
FAU,-5
Arkansas State,-5.1
Miami (OH),-5.5
LA Tech,-5.5
FIU,-5.9
Illinois,-6.4
W Michigan,-6.9
SMU,-7.1
Wyoming,-7.3
Louisville,-9.4
Tulsa,-9.6
Southern Miss,-9.7
Navy,-10.8
Louisiana,-11.3
Akron,-11.5
Oregon St,-11.7
Rutgers,-12
UL Monroe,-12.2
New Mexico,-12.3
UMass,-13.8
C. Carolina,-14
Liberty,-14.1
Cent Michigan,-14.8
UNLV,-14.8
Hawai'i,-14.9
Ball State,-15.4
Charlotte,-15.6
ECU,-16.2
Colorado State,-16.5
Old Dominion,-16.8
Georgia State,-17.5
San Jose State,-18.1
W Kentucky,-18.3
Kent State,-19
Bowling Green,-19.6
New Mexico St,-20.9
Texas State,-21.6
UTSA,-22.2
UConn,-22.3
South Alabama,-22.5
UTEP,-23.3
Rice,-25.6
