Clemson,32.7
Alabama,30.1
Georgia,24.9
Ohio State,21.6
Oklahoma,21.3
Michigan,20.1
Notre Dame,19.3
Penn State,18.5
Miss St,18.4
Washington,17.3
Florida,17.1
Auburn,16
Texas A&M,15.9
Missouri,15.3
West Virginia,15.1
Iowa,15.1
LSU,14.9
Washington St,13.6
Texas,13.5
Utah,13.3
Stanford,13
Fresno State,12.4
Utah State,11.8
Wisconsin,11.8
UCF,11.5
Kentucky,11.4
Miami,11.2
Syracuse,10.8
Boise State,10.4
Oklahoma State,10.3
Oregon,9.9
Mich. St.,9.8
NC State,9.7
Texas Tech,9.1
S Carolina,8.3
Boston College,7.9
Northwestern,7.7
Iowa State,7.5
Georgia Tech,6.9
Purdue,6.9
Arizona State,6.7
UVA,6.4
Duke,6.4
Cincinnati,6.3
Appalachian St,6.2
USC,6.2
TCU,6
Minnesota,5.2
Pitt,4.8
Maryland,4.6
Memphis,4.5
Cal,4.2
Vanderbilt,4.2
Ohio,3.6
VT,3.4
Army,3.1
Nebraska,3.1
Ole Miss,3
Wake Forest,2.7
BYU,2.7
Baylor,2.5
Kansas State,2
Indiana,1.9
Arizona,1.9
Tennessee,1.2
Temple,1.1
FSU,0.9
UCLA,0.8
Colorado,0.2
UAB,-0.2
Houston,-0.6
Toledo,-1.1
Marshall,-1.5
North Texas,-1.8
Buffalo,-2.1
Ga Southern,-2.4
UNC,-2.6
Air Force,-3.2
Troy,-3.2
Kansas,-3.2
Mid Tennessee,-3.7
Miami (OH),-3.9
N Illinois,-4.1
Nevada,-4.2
Tulane,-4.2
FIU,-4.3
Arkansas State,-4.4
Wyoming,-4.5
E Michigan,-4.6
San Diego State,-4.8
Arkansas,-5.2
FAU,-5.4
LA Tech,-6.6
USF,-7.9
Southern Miss,-7.9
W Michigan,-8
SMU,-8.2
Illinois,-8.5
Navy,-9.6
Rutgers,-10.4
Tulsa,-10.5
Louisiana,-11.2
Louisville,-11.9
Oregon St,-12.4
UL Monroe,-12.5
UMass,-13.3
Hawai'i,-13.4
Akron,-13.7
Charlotte,-14
UNLV,-14.3
Colorado State,-14.3
New Mexico,-14.7
Liberty,-14.8
Ball State,-15.3
W Kentucky,-15.4
C. Carolina,-15.5
Old Dominion,-15.8
Cent Michigan,-16.1
San Jose State,-16.5
ECU,-17.7
Georgia State,-18.1
Bowling Green,-18.9
Kent State,-19.4
New Mexico St,-20.7
UTSA,-21
Texas State,-21
South Alabama,-21.6
Rice,-23.6
UConn,-25.3
UTEP,-25.4
