Alabama,28.5
OSU,26.9
Georgia,25
Penn State,25
Clemson,24.2
Oklahoma,22.3
Wisconsin,21.7
Washington,21.7
Auburn,21.6
Notre Dame,18.9
Oklahoma State,17
TCU,16.9
Stanford,15.8
LSU,13.9
UCF,13.8
USC,13.6
Miami,13.5
VT,13.4
Miss St,13.3
FSU,13.3
NC State,13.1
Louisville,13
Iowa,11.6
Michigan,11.2
Texas,10.6
Iowa State,10
Northwestern,9.9
Oregon,9.4
Memphis,8.9
Kansas State,8.9
Wake Forest,8.9
Michigan State,8
Georgia Tech,7.6
South Carolina,7.4
Boston College,7.2
Washington St,7.1
Duke,6.6
Utah,6.3
Missouri,5.9
Texas A&M,5.9
Boise State,5.7
Texas Tech,5.6
Arizona,5.3
USF,5
UCLA,4.8
West Virginia,4.7
Arizona State,4.1
Purdue,3.9
Indiana,3.7
Florida,3.6
San Diego State,2.6
FAU,2.2
Ole Miss,2.1
Navy,2.1
Cal,2
Houston,1.9
Pitt,1.8
Kentucky,1.4
Toledo,1.2
Fresno State,1.1
Ohio,1.1
UNC,0.9
Appalachian St,0.9
Syracuse,0.7
Army,0.7
Minnesota,-0.2
Colorado,-0.5
Troy,-0.5
Arkansas,-1.3
Nebraska,-2.1
Colorado State,-2.3
SMU,-2.5
Tennessee,-2.6
N Illinois,-3.3
UVA,-3.3
Vanderbilt,-3.3
Wyoming,-3.4
Arkansas State,-3.7
Temple,-3.9
W Michigan,-4.1
Baylor,-4.3
Marshall,-4.5
Tulane,-4.6
Maryland,-5.1
Utah State,-5.7
E Michigan,-6.5
LA Tech,-6.5
Air Force,-6.9
Tulsa,-7.1
Southern Miss,-7.4
Buffalo,-7.8
Cent Michigan,-7.9
BYU,-8
Rutgers,-8.1
UTSA,-8.1
Miami (OH),-8.3
North Texas,-8.3
Mid Tennessee,-9
UMass,-9.3
New Mexico St,-11.1
Nevada,-11.3
UNLV,-11.6
UL Monroe,-11.9
Illinois,-12.3
Akron,-12.3
Cincinnati,-12.3
UAB,-12.6
Oregon State,-12.7
W Kentucky,-13.6
FIU,-14
Idaho,-15
New Mexico,-15.1
Georgia State,-15.5
South Alabama,-15.8
UConn,-16.2
ECU,-16.3
Bowling Green,-16.3
Ga Southern,-16.5
Kansas,-16.6
Hawai'i,-17.2
Louisiana,-17.7
C. Carolina,-18.1
Old Dominion,-18.2
Rice,-22.9
Kent State,-23.1
San Jose State,-24.3
Charlotte,-25.1
Texas State,-25.6
Ball State,-26.5
UTEP,-27.2
