Alabama,27.4
Oklahoma,26.2
OSU,24.9
Ole Miss,23.6
Clemson,22.3
Baylor,21.8
Stanford,21.4
LSU,20.6
Tennessee,20.5
TCU,20.5
Notre Dame,19.1
USC,18.8
FSU,18
Arkansas,17.4
Michigan,17.2
UNC,17
Miss St,16.7
Michigan State,16.6
Georgia,15.9
UCLA,14.7
Texas A&M,14.6
West Virginia,14.4
Oregon,14.4
Oklahoma State,14.2
Cal,14
Wisconsin,13.9
Utah,13.4
Washington,13.3
Florida,13.2
Auburn,13
W Kentucky,12.2
Boise State,12.2
Iowa,11.8
Houston,10.9
Louisville,10.3
Georgia Tech,10.2
Arizona State,9.7
VT,9.5
Nebraska,9.4
BYU,9
NC State,8.8
Texas Tech,8.8
Toledo,8.6
Navy,8.4
Pitt,8.4
Memphis,7.7
Bowling Green,7.2
Washington St,7.1
Penn State,6.9
Texas,6.7
Temple,6.4
Miami,6.4
San Diego State,6.3
Arizona,5.6
Ga Southern,5.4
W Michigan,5.4
Appalachian St,5.4
Missouri,5.4
USF,5.3
Kansas State,5.2
Duke,5.1
Northwestern,4.8
LA Tech,4.7
South Carolina,4.3
Southern Miss,3.6
Minnesota,3.4
Illinois,3.1
Marshall,2.6
Kentucky,2.1
UVA,2.1
Air Force,1.8
Indiana,1.7
Arkansas State,1.6
Vanderbilt,1.5
Boston College,1.5
Cincinnati,1.4
Utah State,1.3
Mid Tennessee,0.7
Iowa State,0.6
Syracuse,0.1
ECU,-0.3
Colorado,-0.7
N Illinois,-1.1
Maryland,-1.5
Cent Michigan,-1.9
Wake Forest,-3.4
San Jose State,-4.1
Ohio,-4.2
Purdue,-4.3
Rutgers,-4.9
Tulsa,-5.3
UConn,-5.8
Colorado State,-5.9
Akron,-6.5
New Mexico,-7.9
Troy,-7.9
Oregon State,-8
Nevada,-8.1
FAU,-9.6
Georgia State,-10.5
Buffalo,-10.6
FIU,-10.6
UNLV,-11.7
Ball State,-11.8
Louisiana,-12.3
UMass,-12.7
Rice,-14
SMU,-14.2
Army,-14.9
Texas State,-15.1
Fresno State,-15.7
Tulane,-16
Wyoming,-16
Idaho,-16.1
Kent State,-16.6
UTSA,-16.7
South Alabama,-16.8
UL Monroe,-16.9
Hawaii,-17.5
Old Dominion,-18
UTEP,-18.2
New Mexico St,-18.3
Miami (OH),-18.5
Kansas,-18.9
UCF,-19
E Michigan,-20.2
North Texas,-21.4
Charlotte,-21.4
